name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox,category_1,category_2
monticellite,Mtc,CaMgSiO4,cr,HDNB78,NA,5/5/1978,cal,-512829,-540800,26.4,NA,51.47,36.82,5.34,-8,0,0,0,0,1400,,,-1.0000 monticellite -4.0000 H+ 1.0000 Ca+2 1.0000 Mg+2 1.0000 SiO2 2.0000 H2O,,Si+4 Ca+2 Mg+2 4O-2,inorganic_cr,
muscovite,Ms,KAl2(AlSi3)O10(OH)2,cr,HDNB78,NA,5/5/1978,cal,-1336301,-1427408,68.8,NA,140.71,97.56,26.38,-25.44,0,0,0,0,1000,,,-1.0000 muscovite -10.0000 H+ 1.0000 K+ 3.0000 Al+3 3.0000 SiO2 6.0000 H2O,idealized,K+ 3Al+3 3Si+4 2H+ 12O-2,inorganic_cr,
paragonite,Pg,NaAl2(AlSi3)O10(OH)2,cr,HDNB78,NA,5/5/1978,cal,-1326012,-1416963,66.4,NA,132.53,97.43,24.5,-26.44,0,0,0,0,1000,,,-1.0000 paragonite -10.0000 H+ 1.0000 Na+ 3.0000 Al+3 3.0000 SiO2 6.0000 H2O,,Na+ 3Al+3 3Si+4 2H+ 12O-2,inorganic_cr,
periclase,Per,MgO,cr,HDNB78,NA,5/5/1978,cal,-136086,-143800,6.44,NA,11.248,10.18,1.74,-1.48,0,0,0,0,2100,,,-1.0000 periclase -2.0000 H+ 1.0000 H2O 1.0000 Mg+2,,Mg+2 O-2,inorganic_cr,
phlogopite,Phl,KMg3(AlSi3)O10(OH)2,cr,HDNB78,NA,5/5/1978,cal,-1396187,-1488067,76.1,NA,149.66,100.61,28.78,-21.5,0,0,0,0,1000,,,-1.0000 phlogopite -10.0000 H+ 1.0000 Al+3 1.0000 K+ 3.0000 Mg+2 3.0000 SiO2 6.0000 H2O,idealized,K+ 3Mg+2 Al+3 3Si+4 2H+ 12O-2,inorganic_cr,
K-feldspar,K-Fs,K(AlSi3)O8,cr,HDNB78,NA,5/5/1978,cal,-895374,-949188,51.13,NA,108.87,76.617,4.311,-29.945,0,0,0,0,1400,,,-1.0000 K-feldspar -4.0000 H+ 1.0000 Al+3 1.0000 K+ 2.0000 H2O 3.0000 SiO2,polymorph,K+ Al+3 3Si+4 8O-2,inorganic_cr,
prehnite,Prh,Ca2Al2Si3O10(OH)2,cr,HDNB78,SPRONS92.2,3/15/1990,cal,-1390097,-1481649,65,NA,140.33,91.6,37.82,-19.6,0,0,0,0,848,,,-1.0000 prehnite -10.0000 H+ 2.0000 Al+3 2.0000 Ca+2 3.0000 SiO2 6.0000 H2O,,2Ca+2 2Al+3 3Si+4 2H+ 12O-2,inorganic_cr,
prehnite,Prh,Ca2Al2Si3O10(OH)2,cr2,HDNB78,OBIGT.1,5/5/1978,cal,-1390108.741,NA,61.33,NA,140.33,101.17,19.04,-11.5,0,0,0,0,1000,,,-1.0000 prehnite -10.0000 H+ 2.0000 Al+3 2.0000 Ca+2 3.0000 SiO2 6.0000 H2O,,2Ca+2 2Al+3 3Si+4 2H+ 12O-2,inorganic_cr,
pyrophyllite,Prl,Al2Si4O10(OH)2,cr,HDNB78,NA,5/5/1978,cal,-1255997,-1345313,57.2,NA,126.6,79.432,39.214,-17.282,0,0,0,0,800,,,-1.0000 pyrophyllite -6.0000 H+ 2.0000 Al+3 4.0000 H2O 4.0000 SiO2,,2Al+3 4Si+4 2H+ 12O-2,inorganic_cr,
quartz,Qtz,SiO2,cr,HDNB78,NA,5/5/1978,cal,-204646,-217650,9.88,NA,22.688,11.22,8.2,-2.7,0,0,0,0,848,,,-1.0000 quartz 1.0000 SiO2,polymorph,Si+4 2O-2,inorganic_cr,
quartz,Qtz,SiO2,cr2,HDNB78,OBIGT.1,5/5/1978,cal,-204461.901,-217728.651,8.9986,NA,23.06,14.41,1.94,0,0,0,0,0,2000,,,-1.0000 quartz 1.0000 SiO2,polymorph,Si+4 2O-2,inorganic_cr,
sillimanite,Sil,Al2SiO5,cr,HDNB78,NA,5/5/1978,cal,-580091,-615099,23.13,NA,49.9,40.023988,7.390511,-11.674053,0,0,0,0,1200,,,-1.0000 sillimanite -6.0000 H+ 1.0000 SiO2 2.0000 Al+3 3.0000 H2O,polymorph,2Al+3 Si+4 5O-2,inorganic_cr,
spinel,Spn,MgAl2O4,cr,HDNB78,NA,5/5/1978,cal,-517006,-546847,19.27,NA,39.71,36.772808,6.415456,-9.708792,0,0,0,0,2000,,,-1.0000 spinel -8.0000 H+ 1.0000 Mg+2 2.0000 Al+3 4.0000 H2O,,2Al+3 Mg+2 4O-2,inorganic_cr,
talc,Tcl,Mg3Si4O10(OH)2,cr,HDNB78,NA,5/5/1978,cal,-1320188,-1410920,62.34,NA,136.25,82.482,41.614,-13.342,0,0,0,0,800,,,-1.0000 talc -6.0000 H+ 3.0000 Mg+2 4.0000 H2O 4.0000 SiO2,,4Si+4 2H+ 3Mg+2 12O-2,inorganic_cr,
tremolite,Tr,(Ca2Mg5)Si8O22(OH)2,cr,HDNB78,SPRONS92.2,3/15/1990,cal,-2770245,-2944038,131.19,NA,272.92,188.222,57.294,-44.822,0,0,0,0,800,,,-1.0000 tremolite -14.0000 H+ 2.0000 Ca+2 5.0000 Mg+2 8.0000 H2O 8.0000 SiO2,idealized,8Si+4 2Ca+2 2H+ 5Mg+2 24O-2,inorganic_cr,
wollastonite,Wo,CaSiO3,cr,HDNB78,SPRONS92.2,3/15/1990,cal,-369225,-389590,19.6,NA,39.93,26.64,3.6,-6.52,0,0,0,0,1400,,,-1.0000 wollastonite -2.0000 H+ 1.0000 Ca+2 1.0000 H2O 1.0000 SiO2,,Si+4 Ca+2 3O-2,inorganic_cr,
annite,Ann,KFe3(AlSi3)O10(OH)2,cr,HDNB78,NA,5/5/1978,cal,-1147156,-1232195,95.2,NA,154.32,106.43,29.77,-19.31,0,0,0,0,1000,,,-1.0000 annite -10.0000 H+ 1.0000 Al+3 1.0000 K+ 3.0000 Fe+2 3.0000 SiO2 6.0000 H2O,idealized,K+ 3Fe+2 Al+3 3Si+4 2H+ 12O-2,inorganic_cr,
aragonite,Arg,CaCO3,cr,HDNB78,PB82,3/9/1990,cal,-269683,-288531,21.56,NA,34.15,20.13,10.24,-3.34,0,0,0,0,600,,,-1.0000 aragonite -1.0000 H+ 1.0000 Ca+2 1.0000 HCO3-,polymorph,C+4 Ca+2 3O-2,inorganic_cr,
hedenbergite,Hd,CaFe(SiO3)2,cr,HDNB78,SPRONS92.2,3/5/1990,cal,-638998,-678276,40.7,NA,68.27,54.81,8.17,-15.01,0,0,0,0,1600,,,-1.0000 hedenbergite -4.0000 H+ 1.0000 Ca+2 1.0000 Fe+2 2.0000 H2O 2.0000 SiO2,,Fe+2 Ca+2 6O-2 2Si+4,inorganic_cr,
andradite,Adr,Ca3Fe2Si3O12,cr,HDNB78,SPRONS92.2,3/15/1990,cal,-1296819,-1380345,70.13,NA,131.85,113.532,15.636,-30.889,0,0,0,0,1100,,,-1.0000 andradite -12.0000 H+ 2.0000 Fe+3 3.0000 Ca+2 3.0000 SiO2 6.0000 H2O,,2Fe+3 3Ca+2 3Si+4 12O-2,inorganic_cr,
zoisite,Zo,Ca2Al3Si3O12(OH),cr,HDNB78,SPRONS92.2,3/15/1990,cal,-1549179,-1643691,70.74,NA,135.9,106.118,25.214,-27.145,0,0,0,0,700,,,-1.0000 zoisite -13.0000 H+ 2.0000 Ca+2 3.0000 Al+3 3.0000 SiO2 7.0000 H2O,,3Al+3 2Ca+2 H+ 13O-2 3Si+4,inorganic_cr,
clinozoisite,Czo,Ca2Al3Si3O12(OH),cr,HDNB78,SPRONS92.2,3/15/1990,cal,-1549240,-1643781,70.64,NA,136.2,106.118,25.214,-27.145,0,0,0,0,700,,,-1.0000 clinozoisite -13.0000 H+ 2.0000 Ca+2 3.0000 Al+3 3.0000 SiO2 7.0000 H2O,,3Al+3 2Ca+2 H+ 13O-2 3Si+4,inorganic_cr,
epidote,Ep,Ca2FeAl2Si3O12(OH),cr,HDNB78,SPRONS92.2,3/15/1990,cal,-1450906,-1543992,75.28,NA,139.2,117.622,12.816,-31.864,0,0,0,0,1100,,,-1.0000 epidote -13.0000 H+ 1.0000 Fe+3 2.0000 Al+3 2.0000 Ca+2 3.0000 SiO2 7.0000 H2O,idealized,Fe+3 2Al+3 2Ca+2 H+ 13O-2 3Si+4,inorganic_cr,
alunite,Alu,KAl3(OH)6(SO4)2,cr,HDNB78,NA,5/5/1978,cal,-1113600,-1235600,78.4,NA,293.6,153.45,0,-54.95,0,0,0,0,650,,,-1.0000 alunite -6.0000 H+ 1.0000 K+ 2.0000 SO4-2 3.0000 Al+3 6.0000 H2O,,2S+6 3Al+3 6H+ K+ 14O-2,inorganic_cr,
analcime,Anl,NaAlSi2O6*H2O,cr,HDNB78,NA,5/5/1978,cal,-738098,-790193,56,NA,97.1,53.49,24.14,-8.88,0,0,0,0,1000,,,-1.0000 analcime -4.0000 H+ 1.0000 Al+3 1.0000 Na+ 2.0000 SiO2 3.0000 H2O,,Na+ Al+3 2Si+4 2H+ 7O-2,inorganic_cr,
"analcime,dehydrated",Dhyd-Anl,NaAlSi2O6,cr,HDNB78,NA,5/5/1978,cal,-674989,-714678,41.9,NA,89.1,42.09,24.14,-8.88,0,0,0,0,1000,,,"-1.0000 analcime,dehydrated -4.0000 H+ 1.0000 Al+3 1.0000 Na+ 2.0000 H2O 2.0000 SiO2",idealized,Na+ Al+3 2Si+4 6O-2,inorganic_cr,
artinite,Art,Mg2(OH)2(CO3)*3H2O,cr,HDNB78,NA,5/5/1978,cal,-613915,-698043,55.67,NA,96.9,70.87,27.66,-7.43,0,0,0,0,1000,,,-1.0000 artinite -3.0000 H+ 1.0000 HCO3- 2.0000 Mg+2 5.0000 H2O,,C+4 8H+ 2Mg+2 8O-2,inorganic_cr,
